SATISFACTION_WITH_FINANCIAL_CONDITION,SPENDING_COMPARISON_TO_INCOME,DIFFICULTY_COVERING_EXPENSES,FIN_ANXIETY,EMERGENCY_FUNDS,CONFIDENCE_GET_2000,CREDIT_RECORD_RATING,CHECKING_ACCOUNT,SAVINGS_ACCOUNT,OVERDRAW_CHECKING_ACCOUNT,REGULAR_CONTRIBUTION_TO_RETIREMENT,OTHER_INVESTMENTS,ALWAYS_PAY_CR_FULL_12MO,USED_PAYDAY_LOAN,DEBT_COLLECTED_12MO,TOO_MUCH_DEBT_STRENGTH,D2D_FINANCIAL_SKILL,FINANCIAL_KNOWLEDGE_ASSESS,RACE_ETHNICITY,EDUCATION_LEVEL,HIGHEST_EDUCATION_OF_RAISERS,NUM_DEPENDENT_CHILDREN,BINARIZED_GENDER,AGE,LAYOFF_PANDEMIC,EXPECT_INHERIT_10K_PLUS,STATE,FIN_ED_HS,Z,FIN_HEALTH
8.0,9.0,0.0,6.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,2.0,0.0,1.5,9.0,9.0,1,7,6.0,1,1,3,1.0,1.0,33,1.0,1,116.5
5.0,4.5,4.5,6.0,9.0,3.0,6.75,0.0,9.0,4.5,9.0,9.0,9.0,1.0,0.0,3.0,3.0,9.0,1,6,5.0,6,2,3,2.0,2.0,3,1.0,1,95.25
3.0,4.5,4.5,2.0,9.0,9.0,2.25,9.0,9.0,0.0,9.0,9.0,9.0,2.0,0.0,6.0,3.0,1.5,1,6,5.0,1,2,4,1.0,1.0,5,4.0,0,91.75
9.0,9.0,0.0,7.0,9.0,9.0,6.75,9.0,0.0,0.0,0.0,4.5,9.0,9.0,0.0,0.0,9.0,9.0,1,6,5.0,2,1,4,1.0,1.0,21,4.0,0,99.25
9.0,9.0,0.0,7.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,4.5,0.0,0.0,9.0,9.0,1,6,5.0,2,1,3,1.0,1.0,33,4.0,0,119.5
6.0,4.5,9.0,4.0,0.0,6.0,4.5,4.5,0.0,4.5,4.5,0.0,0.0,9.0,9.0,3.0,4.5,4.5,1,3,2.0,3,1,3,2.0,2.0,22,4.0,0,77.5
6.0,9.0,9.0,5.0,9.0,6.0,6.75,9.0,9.0,0.0,9.0,9.0,9.0,9.0,4.5,4.5,4.5,7.5,1,7,6.0,2,2,3,1.0,1.0,44,4.0,0,125.75
8.0,0.0,9.0,7.0,0.0,3.0,9.0,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,0.0,9.0,9.0,1,7,6.0,2,1,4,2.0,2.0,44,4.0,0,112.5
4.0,9.0,9.0,4.0,0.0,6.0,9.0,9.0,0.0,9.0,4.5,0.0,9.0,9.0,9.0,4.5,6.0,3.0,1,3,2.0,6,2,4,2.0,2.0,29,4.0,0,104.0
0.0,0.0,4.5,7.0,0.0,0.0,4.5,9.0,9.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,4.5,3.0,1,7,6.0,6,2,3,2.0,2.0,24,4.0,0,77.5
0.0,4.5,4.5,7.0,9.0,0.0,9.0,9.0,9.0,9.0,4.5,0.0,9.0,9.0,9.0,7.5,4.5,1.5,2,6,5.0,2,2,5,1.0,2.0,47,4.0,0,106.0
7.0,9.0,9.0,2.0,0.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,1,6,5.0,5,1,5,1.0,1.0,7,4.0,0,133.5
6.0,0.0,4.5,3.0,0.0,6.0,4.5,9.0,0.0,9.0,9.0,0.0,0.0,3.0,9.0,1.5,7.5,4.5,1,4,3.0,2,2,4,2.0,2.0,14,4.0,0,76.5
6.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,2,7,5.0,1,2,4,2.0,4.5,36,4.0,0,151.0
9.0,0.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.5,2,7,6.0,5,2,5,2.0,1.0,11,4.0,0,143.5
7.0,9.0,9.0,3.0,9.0,6.0,2.25,9.0,9.0,9.0,4.5,9.0,0.0,9.0,0.0,6.0,9.0,9.0,1,2,2.0,1,2,4,1.0,2.0,1,4.0,0,118.75
4.0,0.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,1,6,2.0,5,2,6,2.0,2.0,44,4.0,0,131.0
9.0,9.0,9.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,4.5,9.0,6.0,1,3,2.0,5,2,6,1.0,2.0,22,4.0,0,131.5
